ID,type,sex,age,party,representation,position,state
Platzeck,0,1,4,4,1,1,3
Pofalla,0,1,4,2,1,1,4
Praetorius,0,2,3,1,4,1,2
Tillich,0,1,4,2,1,1,5
Hasselfeldt,0,2,4,3,1,2,7
Kampeter,0,1,3,2,2,2,4
Kapferer,0,1,3,6,2,2,8
Kempf,0,1,4,1,2,2,7
Nemat,0,2,3,1,2,2,4
Reiche,0,2,2,2,2,2,3
Roestel,0,2,3,5,2,2,5
Schweitzer,0,1,3,1,2,2,2
Grothus,0,2,3,1,5,2,4
Wodtke,0,2,NA,2,5,2,3
Herntier,0,2,4,1,5,2,3
Kreuzberg,0,1,4,2,5,2,4
Priggen,0,1,4,5,5,2,1
Vassiliadis,0,1,3,4,3,2,4
Scheidt,0,1,3,4,3,2,4
Koerzell,0,1,3,4,3,2,6
Kaiser,0,1,NA,NA,4,2,NA
Weiger,0,1,5,1,4,2,7
Niebert,0,1,2,1,4,2,NA
Schoenefeld,0,2,4,NA,6,2,4
Matthes,0,1,3,1,6,2,2
Schellnhuber,0,1,4,1,6,2,7
Niebuhr,0,2,3,1,6,2,NA
Wehrspohn,0,1,2,1,6,2,NA
Laemmel,0,1,4,2,1,3,5
Lenz,0,1,1,3,1,3,7
Miersch,0,1,3,4,1,3,1
CDU,1,NA,NA,NA,NA,NA,NA
CSU,1,NA,NA,NA,NA,NA,NA
SPD,1,NA,NA,NA,NA,NA,NA
Gruene,1,NA,NA,NA,NA,NA,NA
FDP,1,NA,NA,NA,NA,NA,NA
DB,1,NA,NA,NA,NA,NA,NA
HTW,1,NA,NA,NA,NA,NA,NA
BWB,1,NA,NA,NA,NA,NA,NA
BWO,1,NA,NA,NA,NA,NA,NA
DIW,1,NA,NA,NA,NA,NA,NA
MIBRAG,1,NA,NA,NA,NA,NA,NA
DRK,1,NA,NA,NA,NA,NA,NA
BDA,1,NA,NA,NA,NA,NA,NA
BDEW,1,NA,NA,NA,NA,NA,NA
BDI,1,NA,NA,NA,NA,NA,NA
GVB,1,NA,NA,NA,NA,NA,NA
Telekom,1,NA,NA,NA,NA,NA,NA
Airbus,1,NA,NA,NA,NA,NA,NA
VKU,1,NA,NA,NA,NA,NA,NA
EnBW,1,NA,NA,NA,NA,NA,NA
SD,1,NA,NA,NA,NA,NA,NA
Alba,1,NA,NA,NA,NA,NA,NA
DIHT,1,NA,NA,NA,NA,NA,NA
BfB,1,NA,NA,NA,NA,NA,NA
KAD,1,NA,NA,NA,NA,NA,NA
GZW,1,NA,NA,NA,NA,NA,NA
Spre,1,NA,NA,NA,NA,NA,NA
KSKK,1,NA,NA,NA,NA,NA,NA
LEENRW,1,NA,NA,NA,NA,NA,NA
IGBCE,1,NA,NA,NA,NA,NA,NA
Verdi,1,NA,NA,NA,NA,NA,NA
Eon,1,NA,NA,NA,NA,NA,NA
DGB,1,NA,NA,NA,NA,NA,NA
GP,1,NA,NA,NA,NA,NA,NA
BUND,1,NA,NA,NA,NA,NA,NA
RNE,1,NA,NA,NA,NA,NA,NA
DNR,1,NA,NA,NA,NA,NA,NA
NBG,1,NA,NA,NA,NA,NA,NA
BfAN,1,NA,NA,NA,NA,NA,NA
DVPW,1,NA,NA,NA,NA,NA,NA
GEE,1,NA,NA,NA,NA,NA,NA
IPCC,1,NA,NA,NA,NA,NA,NA
PIK,1,NA,NA,NA,NA,NA,NA
CAU,1,NA,NA,NA,NA,NA,NA
IAB,1,NA,NA,NA,NA,NA,NA
IMWS,1,NA,NA,NA,NA,NA,NA
MLU,1,NA,NA,NA,NA,NA,NA
BT,1,NA,NA,NA,NA,NA,NA
AWE,1,NA,NA,NA,NA,NA,NA
EUD,1,NA,NA,NA,NA,NA,NA
